OTU_ID	Taxon	TC10-1	TC10-2	TC10-3	TC50-1	TC50-2	TC50-3	TC25-1	TC25-2	TC25-3	CK-1	CK-2	CK-3
OTU68	r__Root;k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	95.85001834	91.82420936	96.03773651	90.90604271	93.87892643	90.0967697	83.35624746	87.68311015	77.91341318	105.9112969	93.89000198	90.21085297
OTU69	r__Root;k__Bacteria;p__Chloroflexi;c__Tepidiformia	786.0164547	713.6313244	785.9195529	440.3689707	678.8499028	664.5537733	575.0096358	613.5932052	579.4297517	718.0950769	696.8432781	678.8264637
OTU70	r__Root;k__Bacteria;p__Chloroflexi;c__Thermomicrobia	835.3305946	783.8096283	861.1168858	529.2193492	679.9240324	708.7612549	648.1849676	654.3234241	661.2388356	819.2671523	744.5542814	767.6086381
OTU71	r__Root;k__Bacteria;p__Chrysiogenetes	17.13261197	15.94961453	21.22713281	12.79079998	13.61996324	16.52975401	14.12602056	12.93561582	12.99923788	14.62977058	15.45136163	16.00120107
OTU72	r__Root;k__Bacteria;p__Chrysiogenetes;c__Chrysiogenetes	85.66305987	79.74807265	106.1356641	63.9539999	68.0998162	82.64877007	70.63010281	64.6780791	64.99618942	73.14885289	77.25680815	80.00600535
OTU73	r__Root;k__Bacteria;p__Coprothermobacterota	3.611739821	3.508915197	3.910261308	2.695204281	3.866866535	3.315561125	2.92701327	3.281045412	2.542437693	4.079851513	3.064009388	2.694079772
OTU74	r__Root;k__Bacteria;p__Coprothermobacterota;c__Coprothermobacteria	18.05869911	17.54457598	19.55130654	13.47602141	19.33433267	16.57780562	14.63506635	16.40522706	12.71218847	20.39925757	15.32004694	13.47039886
OTU75	r__Root;k__Bacteria;p__Cyanobacteria	6455.984931	6169.538752	6788.815209	5068.62858	5757.033862	5808.382575	5235.790432	5090.711666	5128.670926	5944.178812	5916.733444	5612.829469
OTU76	r__Root;k__Bacteria;p__Cyanobacteria;c__Gloeobacteria	424.2868203	400.0619027	416.7221337	292.315461	367.0945297	337.5625638	325.9165645	337.6459721	342.121898	372.0907001	388.3850758	374.0688944
OTU77	r__Root;k__Bacteria;p__Deferribacteres	9.677610547	8.703932501	10.35574698	8.039931416	8.721932296	7.255793186	8.823460291	8.259183278	8.324433093	8.489387997	9.58597223	9.715014935
OTU78	r__Root;k__Bacteria;p__Deferribacteres;c__Deferribacteres	48.11022659	43.33738119	51.60685528	40.01693136	43.43780074	36.08675949	43.94761953	41.0696374	41.45813723	42.2820975	47.7547749	48.41179711
OTU79	r__Root;k__Bacteria;p__Deinococcus-Thermus	984.8473623	894.5455235	941.2127877	666.4920418	813.6746493	819.2799591	748.9760332	754.9044369	764.0435339	880.5885569	845.4477334	834.1850639
OTU80	r__Root;k__Bacteria;p__Deinococcus-Thermus;c__Deinococci	4923.310724	4471.907352	4705.161571	3331.500899	4067.470978	4095.486815	3744.116597	3773.918774	3819.561557	4402.324625	4226.231921	4170.149751
OTU81	r__Root;k__Bacteria;p__Dictyoglomi	1.342826344	1.32153949	1.332067039	1.187717141	1.417851063	1.777909589	1.56955784	1.206821301	1.066183549	1.566003611	1.532004694	1.7144144
